UID;Polygon_ID;annee;numero;departement;code_insee;nom_de_la_commune;date_de_premiere_alerte;origine_de_lalerte;moyens_de_premiere_intervention;surface_parcourue_m2;surface_parcourue_ha;Polygon_area_ha;surface_foret_m2;surface_maquis_garrigues_m2;autres_surfaces_naturelles_hors_foret_m2;surfaces_agricoles_m2;autres_surfaces_m2;surface_autres_terres_boisees_m2;surfaces_non_boisees_naturelles_m2;surfaces_non_boisees_artificialisees_m2;surfaces_non_boisees_m2;precision_des_surfaces;surface_de_feu_a_larrivee_des_secours_0_1_ha;voie_carrossable_la_plus_proche;activite_ou_habitation_la_plus_proche;type_de_peuplement;connaissance;source_de_lenquete;nature;intervention_de_lequipe_rcci;deces_ou_batiments_touches;nombre_de_deces;nombre_de_batiments_totalement_detruits;nombre_de_batiments_partiellement_detruits;hygrometrie_percent;vitesse_moyenne_du_vent_km_h;direction_du_vent;temperature_c;precision_de_la_donnee;presence_dun_contour_valide
B-2017-02386;A-081;2017;12050;2B;2B188;Olmeta-di-Tuda;2017-07-24T12:49:00Z;Indéterminé;NA;21180000;2118,0000;2055,895827000;1380000;18900000;NA;NA;NA;NA;NA;NA;900000;NA;NA;4;3;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;100;NA;NA;NA;Non
B-2019-00115;NA;2019;229;974;97419;Sainte-Rose;2019-01-20T10:56:00Z;Indéterminé;NA;17564165;1756,4165;NA;9361000;NA;8187317;NA;NA;0;8187317;15848;8203165;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02424;A-243;2017;12221;83;83006;Artigues;2017-07-24T21:47:00Z;Population;3;17040000;1704,0000;1628,188967000;15870000;970000;NA;NA;NA;NA;NA;NA;200000;NA;1;2;3;2;Probable;Sapeur-pompier;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02641;A-091;2017;13571;2B;2B178;Nonza;2017-08-11T00:45:00Z;Indéterminé;NA;16170000;1617,0000;1369,109483000;360000;15370000;NA;NA;NA;NA;NA;NA;440000;NA;NA;4;1;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-03059;A-093;2017;15505;2B;2B352;Ville-di-Paraso;2017-10-20T09:27:00Z;Indéterminé;NA;15177800;1517,7800;818,367931200;7800;14970000;NA;NA;NA;NA;NA;NA;200000;NA;NA;4;1;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02284;A-254;2017;11720;83;83071;Londe-les-Maures (La);2017-07-25T22:54:00Z;Population;3;14230000;1423,0000;1343,145044000;14230000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;Probable;Forestier;Malveillance;Oui;Non;NA;NA;NA;38;35;NO;25;NA;Non
B-2018-01125;A-096;2018;4880;2B;2B293;Sant'Andréa-di-Cotone;2018-01-02T05:13:00Z;Indéterminé;NA;13172400;1317,2400;1110,530337000;5000000;7000000;NA;NA;NA;NA;NA;NA;1172400;NA;NA;2;3;2;Probable;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02419;A-281;2017;12191;84;84010;Bastidonne (La);2017-07-24T10:36:00Z;Vigie-caméra;3;11418100;1141,8100;1097,637338000;10813800;525200;NA;NA;NA;NA;NA;NA;79100;NA;NA;NA;NA;4;Certaine;Forestier;Naturelle;Oui;Non;NA;NA;NA;41;25;NO;25;NA;Non
B-2017-00818;AQ-017;2017;2647;33;33125;Cissac-Médoc;2017-04-20T14:05:00Z;Indéterminé;NA;10755000;1075,5000;886,621382300;10755000;NA;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-00929;AQ-018;2017;2970;40;40060;Callen;2017-07-05T15:34:00Z;Indéterminé;NA;4916000;491,6000;423,076151100;0;NA;4916000;NA;NA;4916000;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02844;V-062;2019;13771;2B;2B049;Calenzana;2019-02-23T20:03:00Z;Population;NA;11101600;1110,1600;NA;6349200;4719800;NA;NA;NA;NA;NA;NA;32600;NA;NA;4;3;1;Certaine;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;8;39;NE;12;NA;Non
