,start_date,end_date,geometry,class_left,tree_type_left,essence_left,dataset_left,index_right,year,class_right,tree_type_right,essence_right,dataset_right,year_left,cause,notes,year_right
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2441859,2010.0,Other,Conifer,maritime pine,senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440737,2010.0,Other,Conifer,maritime pine,senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2441864,2010.0,Other,Conifer,maritime pine,senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440757,2010.0,Other,Mixed,"maritime pine,nr",senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2441870,2010.0,Other,Mixed,"maritime pine,nr",senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440750,2010.0,Other,Mixed,"nr,maritime pine",senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440764,2010.0,Other,Conifer,maritime pine,senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440766,2010.0,Other,Mixed,"maritime pine,nr",senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440765,2010.0,Other,Mixed,"maritime pine,nr",senfseidl,,,,
19308,2004-12-27 18:00:00,2009-12-28,"POLYGON ((395391.39042143006 6339555.569032008, 395357.68350813544 6338869.449049701, 395256.8873842527 6338189.936777895, 395089.97277155553 6337523.576291227, 394858.5471490091 6336876.785005452, 394564.8392718685 6336255.791874226, 394211.67770754785 6335666.577400871, 393802.4635949692 6335114.816042862, 393341.13788973587 6334605.821563702, 392832.1434105756 6334144.495858469, 392280.38205256726 6333735.28174589, 391691.16757921205 6333382.120181569, 391070.17444798566 6333088.412304428, 390423.3831622113 6332856.986681882, 389757.022675543 6332690.072069185, 389077.51040373696 6332589.275945302, 388391.39042143006 6332555.569032008, 387705.27043912315 6332589.275945302, 387025.75816731714 6332690.072069185, 386359.39768064884 6332856.986681882, 385712.60639487446 6333088.412304428, 385091.61326364806 6333382.120181569, 384502.39879029285 6333735.28174589, 383950.63743228454 6334144.495858469, 383441.64295312425 6334605.821563702, 382980.3172478909 6335114.816042862, 382571.10313531227 6335666.577400871, 382217.9415709916 6336255.791874226, 381924.23369385104 6336876.785005452, 381692.8080713046 6337523.576291227, 381525.89345860743 6338189.936777895, 381425.0973347247 6338869.449049701, 381391.39042143006 6339555.569032008, 381425.0973347247 6340241.689014315, 381525.89345860743 6340921.20128612, 381692.8080713046 6341587.561772789, 381924.23369385104 6342234.353058564, 382217.9415709916 6342855.3461897895, 382571.1031353122 6343444.560663145, 382980.31724789087 6343996.322021154, 383441.64295312425 6344505.316500314, 383950.63743228454 6344966.642205547, 384502.39879029285 6345375.8563181255, 385091.61326364806 6345729.017882447, 385712.6063948744 6346022.725759587, 386359.39768064884 6346254.151382133, 387025.75816731714 6346421.065994831, 387705.27043912315 6346521.862118714, 388391.39042143006 6346555.569032008, 389077.51040373696 6346521.862118714, 389757.022675543 6346421.065994831, 390423.3831622113 6346254.151382133, 391070.1744479857 6346022.725759587, 391691.16757921205 6345729.017882447, 392280.38205256726 6345375.8563181255, 392832.1434105756 6344966.642205547, 393341.13788973587 6344505.316500314, 393802.4635949692 6343996.322021154, 394211.67770754785 6343444.560663145, 394564.8392718685 6342855.3461897895, 394858.5471490091 6342234.353058564, 395089.97277155553 6341587.561772789, 395256.8873842527 6340921.20128612, 395357.68350813544 6340241.689014315, 395391.39042143006 6339555.569032008))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2440785,2010.0,Other,Mixed,"nr,maritime pine",senfseidl,,,,
