,eps,clustering_mode,davies-bouldin_median,davies-bouldin_std,cluster_size_median,cluster_size_std
95,0.15,equal,0.9627020434315177,0.4331024989601489,2.0,3.210740526777946
107,0.15,PCA,0.8474545757270099,0.3723168949140425,3.0,4.133711499277021
108,0.19999999999999998,PCA,0.861160151074159,0.3776195200368407,3.0,4.003033711326349
96,0.19999999999999998,equal,0.9484451199540265,0.46395843319588576,2.0,2.799757029068744
97,0.25,equal,0.8478060759671013,0.46109176029418925,1.0,2.425044770750654
109,0.25,PCA,0.8766638605113831,0.3859190249985837,2.0,3.7526166014884033
110,0.3,PCA,0.8859249736069468,0.3959291569053357,2.0,3.5340316452195206
98,0.3,equal,0.7710552110176487,0.45722789546758924,1.0,2.170685022347839
99,0.35,equal,0.7148808901859558,0.4531310782316922,1.0,1.9850181448313275
111,0.35,PCA,0.884310286505195,0.4050418036576295,2.0,3.3278310072696495
112,0.39999999999999997,PCA,0.8699815421052894,0.40557685437162017,2.0,3.1412886777116142
100,0.39999999999999997,equal,0.6778780981761665,0.4503381301840749,1.0,1.8410578779519626
101,0.44999999999999996,equal,0.6456178994141734,0.448692108282114,1.0,1.725273083777521
113,0.44999999999999996,PCA,0.8521640727284814,0.404653957363922,1.0,2.9803277016994474
114,0.5,PCA,0.8374258669355533,0.40393525791904156,1.0,2.840008519673127
102,0.5,equal,0.635109606619584,0.4483681250339702,1.0,1.6292389228863955
115,0.5499999999999999,PCA,0.8301323748022753,0.4036767923345354,1.0,2.7171329876369774
103,0.5499999999999999,equal,0.6318433585125035,0.44835084858330404,1.0,1.5474732867202932
104,0.6,equal,0.6303693706178555,0.44833210790001776,1.0,1.4767221669496828
116,0.6,PCA,0.8280418928817463,0.4037173942469875,1.0,2.6085641513513864
117,0.6499999999999999,PCA,0.8277055484891249,0.4037155542284569,1.0,2.51121476549903
105,0.6499999999999999,equal,0.6303693706178555,0.44833210790001776,1.0,1.4147229608928495
106,0.7,equal,0.6303693706178555,0.44833210790001776,1.0,1.3598353141063975
118,0.7,PCA,0.8275364788466447,0.4037344755631108,1.0,2.4233743584860252
