,year,geometry,class,tree_type,essence,dataset
3,2018,"POLYGON ((246613.1894278889 6739873.607783144, 246610.346970825 6739903.374893006, 246670.15205381403 6739909.35775621, 246672.99450267048 6739879.59063381, 246613.1894278889 6739873.607783144))",Other,Mixed,mixed,senfseidl
4,2018,"POLYGON ((246577.6019455354 6739930.150549945, 246607.50449719315 6739933.142001834, 246610.346970825 6739903.374893006, 246580.44442327088 6739900.383447386, 246577.6019455354 6739930.150549945))",Other,Mixed,mixed,senfseidl
5,2018,"POLYGON ((242214.72739673144 6740094.607689224, 242274.53382690414 6740100.593525231, 242277.37721875182 6740070.827335405, 242307.2804236487 6740073.82023311, 242310.123794763 6740044.054035944, 242280.22059395933 6740041.061144534, 242285.90729445498 6739981.528759643, 242226.10089702508 6739975.542973983, 242220.4141801598 6740035.075333698, 242250.3173890916 6740038.068243781, 242247.47400979087 6740067.834428362, 242217.57079676614 6740064.841511985, 242214.72739673144 6740094.607689224))",Other,Conifer,conifers,senfseidl
6,2018,"POLYGON ((242179.1373173686 6740151.147095977, 242170.6069052813 6740240.445596284, 242230.41338452965 6740246.431513901, 242236.1003261814 6740186.899156229, 242266.00355151936 6740189.892088444, 242271.69041841623 6740130.359714014, 242241.78720126767 6740127.366794385, 242238.9437720452 6740157.132975832, 242179.1373173686 6740151.147095977))",Other,Conifer,conifers,senfseidl
7,2018,"POLYGON ((239758.42722255003 6740209.337879323, 239698.6200184729 6740203.3503429, 239695.77606230194 6740233.115983563, 239725.67967046768 6740236.109762747, 239722.83570170222 6740265.875408666, 239752.73930987896 6740268.869184826, 239758.42722255003 6740209.337879323))",Other,Broadleaf,broadleaf,senfseidl
8,2018,"POLYGON ((246224.66737259045 6741096.89985152, 246254.5701210748 6741099.8916291185, 246260.25644349935 6741040.357592576, 246230.35370325827 6741037.36582753, 246233.1968437216 6741007.598814025, 246173.39135937137 6741001.615268431, 246179.0776070379 6740942.081263496, 246119.27212301822 6740936.097705603, 246105.05633829033 6741084.9326476045, 246134.95910292037 6741087.924462612, 246132.11590034986 6741117.691454264, 246221.82418238622 6741126.6668620035, 246224.66737259045 6741096.89985152))",Other,Mixed,"maritime pine,nr",senfseidl
9,2018,"POLYGON ((243094.93842805934 6741625.147388414, 243086.40615125484 6741714.446408782, 243176.11600516958 6741723.425159136, 243170.4277621982 6741782.9578721635, 243200.3310469829 6741785.950782849, 243214.55150904652 6741637.118961297, 243184.648244876 6741634.126082096, 243187.4922915119 6741604.359721085, 243157.58902741142 6741601.36683883, 243160.43306153564 6741571.600483112, 243100.62652942393 6741565.6147031635, 243097.78248705843 6741595.381046289, 243067.87921080564 6741592.388135999, 243065.03514768556 6741622.154471828, 243094.93842805934 6741625.147388414))",Other,Mixed,"mixed,maritime pine",senfseidl
10,2018,"POLYGON ((244709.70955730102 6741786.751002497, 244679.8064954193 6741783.758590743, 244676.96263841115 6741813.525265389, 244647.05956835928 6741810.532837995, 244641.37179625576 6741870.06617173, 244701.17794883548 6741876.051042322, 244704.02183493308 6741846.284363371, 244733.9249010323 6741849.276778352, 244736.76876639132 6741819.5100921225, 244706.8657044213 6741816.51768343, 244709.70955730102 6741786.751002497))",Other,Mixed,mixed,senfseidl
11,2018,"POLYGON ((241780.65043471399 6741794.104193912, 241750.7469387963 6741791.110812495, 241747.90251539514 6741820.8768663695, 241717.9990112994 6741817.883469305, 241709.46562878892 6741907.181606018, 241769.27265764802 6741913.168428635, 241772.11712689995 6741883.402371451, 241802.0206311223 6741886.395762439, 241804.86507959617 6741856.629697955, 241774.96157949523 6741853.636313273, 241780.65043471399 6741794.104193912))",Other,Mixed,"maritime pine,mixed",senfseidl
12,2018,"POLYGON ((243201.79219732562 6742086.607315599, 243207.480756477 6742027.0745972525, 243147.67412494216 6742021.088684468, 243139.14123649232 6742110.387722714, 243169.04456666915 6742113.380702675, 243171.8888753262 6742083.614351286, 243201.79219732562 6742086.607315599))",Other,Conifer,maritime pine,senfseidl
13,2018,"POLYGON ((241755.0500615213 6742061.998699596, 241814.8571153839 6742067.985547895, 241823.3906982923 6741978.6873504715, 241763.5836691709 6741972.700540005, 241755.0500615213 6742061.998699596))",Other,Mixed,"maritime pine,mixed",senfseidl
14,2018,"POLYGON ((241746.51630394615 6742151.296850239, 241806.32338255877 6742157.283736376, 241803.47877163457 6742187.049797223, 241833.38230898336 6742190.04323258, 241836.22691578127 6742160.277165427, 241866.13044494903 6742163.270585133, 241871.81960032147 6742103.738435247, 241752.20549232187 6742091.764750802, 241746.51630394615 6742151.296850239))",Other,Mixed,"mixed,broadleaf",senfseidl
15,2018,"POLYGON ((243065.11270921887 6742253.233382399, 243062.26828835107 6742282.999708976, 243032.3649212474 6742280.006663168, 243029.52047960967 6742309.772982458, 243059.4238508449 6742312.766034565, 243056.57939670054 6742342.5323591735, 243116.3861352938 6742348.518447941, 243113.5416727771 6742378.284784169, 243173.34840344748 6742384.270848135, 243167.65944503684 6742443.80354285, 243197.5628125706 6742446.796573407, 243208.94064631022 6742327.73115486, 243238.84399326245 6742330.724150865, 243244.53280205122 6742271.191423105, 243184.7261206297 6742265.205446935, 243187.5705083348 6742235.439094178, 243127.76381898718 6742229.453093209, 243124.91942301946 6742259.219433368, 243065.11270921887 6742253.233382399))",Other,Mixed,"broadleaf,maritime pine",senfseidl
16,2018,"POLYGON ((244469.3162023322 6743986.489887314, 244439.41282961104 6743983.497000364, 244436.56773882214 6744013.263597465, 244376.76097295823 6744007.277782872, 244371.0707248511 6744066.81094907, 244460.78089258593 6744075.789694728, 244463.62601245858 6744046.02309319, 244493.52938947728 6744049.015983382, 244502.06463686097 6743959.716154265, 244472.16127233423 6743956.723282978, 244469.3162023322 6743986.489887314))",Other,Mixed,mixed,senfseidl
