,Chain,Time_Between_Disturbances,Centroid
0,biotic-dieback -> biotic-mortality,2.9917808219178084,POINT (621403.5085625276 7079163.427350822)
0,biotic-dieback -> biotic-mortality,1.4904109589041097,POINT (611468.9898360083 7070736.404769105)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (600043.0157332838 7055618.5580193205)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (640525.0165199487 7051502.223082921)
0,storm -> biotic-dieback,0.0,POINT (679572.0251616039 7048665.934653121)
0,storm -> biotic-dieback,0.0,POINT (679524.517130348 7048619.685313815)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (660437.8245985996 7047574.29308467)
0,storm -> biotic-dieback,0.4986301369863014,POINT (707470.0198323793 7039215.166517806)
0,storm -> biotic-dieback,1.0,POINT (601379.9594779533 7037397.501654873)
0,storm -> biotic-dieback,0.4986301369863014,POINT (703113.3267287095 7036247.873018852)
0,storm -> biotic-dieback,0.0,POINT (601419.9452107861 7037169.329766663)
0,storm -> biotic-dieback,1.0,POINT (623612.4113406356 7035656.982415171)
0,storm -> biotic-dieback,0.0,POINT (723797.4303081576 7032414.753352652)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (677201.1350665285 7031639.790829914)
0,storm -> biotic-dieback,0.0,POINT (756373.087366003 7028012.194641583)
0,biotic-dieback -> biotic-mortality,1.9917808219178081,POINT (643747.5052031176 7022540.547771568)
0,biotic-dieback -> biotic-mortality,1.4958904109589042,POINT (606347.4426003726 7021488.282238502)
0,storm -> biotic-dieback,0.4986301369863014,POINT (731071.8255616111 7020576.706635824)
0,storm -> biotic-dieback,0.0,POINT (773090.4441800907 7019920.022520881)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (651074.3964448676 7019376.830621807)
0,storm -> biotic-dieback,1.0,POINT (782093.537047922 7017845.157353688)
0,storm -> biotic-dieback,1.0,POINT (615113.3413783704 7016020.079556535)
0,storm -> biotic-dieback,0.4986301369863014,POINT (757046.0486850751 7015210.155298878)
0,storm -> biotic-dieback,0.0,POINT (657688.7822951176 7013792.674567663)
0,storm -> biotic-dieback,0.0,POINT (657416.1788992911 7013683.357587025)
0,storm -> biotic-dieback,0.0,POINT (657686.0682210097 7013544.25870799)
0,biotic-dieback -> biotic-mortality,1.0,POINT (657749.4366004219 7013458.116510992)
0,biotic-dieback -> biotic-mortality,0.9917808219178083,POINT (667921.1552330699 7010760.129399128)
0,storm -> biotic-dieback,0.0,POINT (740963.8413220545 7008437.245097182)
0,biotic-dieback -> biotic-mortality,4.002739726027397,POINT (741080.2592810557 7008410.25034695)
0,storm -> biotic-dieback,0.5013698630136987,POINT (631297.8288304232 7006967.7194861695)
0,storm -> biotic-dieback,0.0,POINT (772539.4809813052 7006487.64518607)
